Magnet Current (A),B (T),B uncertainty,I(mA),I uncertainty,V(microV),V uncertainty,Voltmeter range
1.59,0.547,0.003,4,0.1,1.7,0.2,3microV
1.59,0.547,0.003,8,0.1,4.8,0.4,10microV
1.59,0.547,0.003,10,0.1,5.6,0.4,10microV
1.59,0.547,0.003,12,0.1,6.8,0.5,10microV
1.59,0.547,0.003,14,0.1,8.3,0.3,30microV
1.59,0.547,0.003,16,0.1,9.9,0.2,30microV
1.59,0.547,0.003,20,0.1,13.1,0.2,30microV
1.59,0.547,0.003,22,0.1,13.7,0.5,30microV
1.59,0.547,0.003,24,0.1,15.9,0.3,30microV
1.59,0.547,0.003,25,0.1,16.8,0.5,30microV
4.73,1.128,0.003,3,0.1,1.9,0.3,10microV
4.73,1.128,0.003,5,0.1,5.7,0.4,10microV
4.73,1.128,0.003,7,0.1,10.2,0.5,30microV
4.73,1.128,0.003,9,0.1,11.4,0.5,30microV
4.73,1.128,0.003,13,0.1,17,0.5,30microV
4.73,1.128,0.003,15,0.1,20.2,0.5,30microV
4.73,1.128,0.003,17,0.1,23.5,0.5,30microV
4.73,1.128,0.003,19,0.1,27.2,0.5,30microV
4.73,1.128,0.003,21,0.1,28.5,0.5,30microV
4.73,1.128,0.003,25,0.1,36,0.5,100microV
2.31,0.771,0.003,4,0.1,4.9,0.4,10microV
2.31,0.771,0.003,6,0.1,6.4,0.4,10microV
2.31,0.771,0.003,10,0.1,9.2,0.2,10microV
2.31,0.771,0.003,14,0.1,13.5,0.5,30microV
2.31,0.771,0.003,16,0.1,15.6,0.5,30microV
2.31,0.771,0.003,18,0.1,17,0.5,30microV
2.31,0.771,0.003,20,0.1,19.2,0.3,30microV
2.31,0.771,0.003,22,0.1,21.5,0.3,30microV
2.31,0.771,0.003,24,0.1,23.4,0.3,30microV
0.87,0.302,0.003,5,0.1,2.2,0.2,10microV
0.87,0.302,0.003,7,0.1,2.6,0.2,10microV
0.87,0.302,0.003,11,0.1,4.8,0.2,10microV
0.87,0.302,0.003,13,0.1,5.3,0.2,10microV
0.87,0.302,0.003,17,0.1,7.2,0.2,10microV
0.87,0.302,0.003,19,0.1,8,0.2,10microV
0.87,0.302,0.003,21,0.1,8.4,0.2,10microV
0.87,0.302,0.003,25,0.1,9.7,0.2,10microV